epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.4542,0.62825,0.5814,1,0.63646,8.568e-05,8.568e-05,8.568e-05
2,106.79,0.52821,0.69767,1,0.46607,0.000174966,0.000174966,0.000174966
3,165.89,0.38719,0.97674,1,0.30125,0.000260576,0.000260576,0.000260576
4,222.026,0.27287,0.97674,1,0.16958,0.00034251,0.00034251,0.00034251
5,278.016,0.19937,0.95349,1,0.15189,0.000420769,0.000420769,0.000420769
6,343.497,0.20792,0.90698,1,0.20091,0.000495352,0.000495352,0.000495352
7,400.851,0.10116,0.86047,1,0.26629,0.000566259,0.000566259,0.000566259
8,458.802,0.06349,1,1,0.05769,0.00061504,0.00061504,0.00061504
9,515.763,0.07591,1,1,0.01176,0.000600902,0.000600902,0.000600902
10,574.603,0.05255,1,1,0.00779,0.000586765,0.000586765,0.000586765
11,631.962,0.03854,1,1,0.00603,0.000572628,0.000572628,0.000572628
12,689.868,0.02843,1,1,0.00281,0.000558491,0.000558491,0.000558491
13,748.521,0.0373,1,1,0.00129,0.000544354,0.000544354,0.000544354
14,807.505,0.0259,1,1,0.00307,0.000530216,0.000530216,0.000530216
15,865.474,0.06463,1,1,0.00665,0.000516079,0.000516079,0.000516079
16,923.792,0.0755,0.97674,1,0.01531,0.000501942,0.000501942,0.000501942
17,985.771,0.03619,1,1,0.00199,0.000487805,0.000487805,0.000487805
18,1047.67,0.06102,1,1,0.01199,0.000473668,0.000473668,0.000473668
19,1111.47,0.05115,1,1,0.00062,0.00045953,0.00045953,0.00045953
20,1174.28,0.03332,1,1,0.00044,0.000445393,0.000445393,0.000445393
21,1234.45,0.06834,1,1,0.00373,0.000431256,0.000431256,0.000431256
22,1296.01,0.05145,1,1,0.01479,0.000417119,0.000417119,0.000417119
23,1355.92,0.01236,1,1,0.0281,0.000402982,0.000402982,0.000402982
24,1415.92,0.06478,1,1,0.01237,0.000388844,0.000388844,0.000388844
25,1475.13,0.04953,1,1,0.03637,0.000374707,0.000374707,0.000374707
26,1541.9,0.02262,1,1,0.00889,0.00036057,0.00036057,0.00036057
27,1616.83,0.01342,1,1,0.00128,0.000346433,0.000346433,0.000346433
28,1693.35,0.03613,1,1,0.00058,0.000332296,0.000332296,0.000332296
29,1761.47,0.0134,1,1,0.00022,0.000318158,0.000318158,0.000318158
30,1835.39,0.02379,1,1,0.00036,0.000304021,0.000304021,0.000304021
31,1907.43,0.01266,1,1,0.00044,0.000289884,0.000289884,0.000289884
32,1971.97,0.00985,1,1,0.00022,0.000275747,0.000275747,0.000275747
33,2036.59,0.00894,1,1,0.00017,0.00026161,0.00026161,0.00026161
34,2100.45,0.01049,1,1,0.00031,0.000247472,0.000247472,0.000247472
35,2163.69,0.00854,1,1,0.00011,0.000233335,0.000233335,0.000233335
36,2228.84,0.02236,1,1,0.00021,0.000219198,0.000219198,0.000219198
37,2295.19,0.00698,1,1,0.00014,0.000205061,0.000205061,0.000205061
38,2360.61,0.02407,1,1,7e-05,0.000190924,0.000190924,0.000190924
39,2424.61,0.02139,1,1,9e-05,0.000176786,0.000176786,0.000176786
40,2494.58,0.01211,1,1,0.00025,0.000162649,0.000162649,0.000162649
41,2557.19,0.00873,1,1,9e-05,0.000148512,0.000148512,0.000148512
42,2617.17,0.00287,1,1,0.00018,0.000134375,0.000134375,0.000134375
43,2676.26,0.01497,1,1,7e-05,0.000120238,0.000120238,0.000120238
44,2735.45,0.01,1,1,4e-05,0.0001061,0.0001061,0.0001061
45,2793.97,0.0039,1,1,9e-05,9.19632e-05,9.19632e-05,9.19632e-05
46,2853.07,0.00498,1,1,8e-05,7.7826e-05,7.7826e-05,7.7826e-05
47,2912.98,0.02171,1,1,0.00011,6.36888e-05,6.36888e-05,6.36888e-05
48,2971.67,0.02869,1,1,0.00012,4.95516e-05,4.95516e-05,4.95516e-05
49,3030.98,0.02874,1,1,6e-05,3.54144e-05,3.54144e-05,3.54144e-05
50,3089.23,0.00175,1,1,6e-05,2.12772e-05,2.12772e-05,2.12772e-05
