epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.8444,1.08588,0.14286,1,1.15788,5.712e-05,5.712e-05,5.712e-05
2,29.5268,0.96393,0.92857,1,0.80194,0.000115372,0.000115372,0.000115372
3,42.5653,0.81244,0.85714,1,0.51624,0.000167262,0.000167262,0.000167262
4,55.6662,0.66734,0.92857,1,0.33653,0.00021279,0.00021279,0.00021279
5,69.0126,0.51412,1,1,0.17851,0.000251956,0.000251956,0.000251956
6,82.6667,0.32182,1,1,0.10686,0.000284761,0.000284761,0.000284761
7,97.0233,0.29877,1,1,0.06169,0.000311204,0.000311204,0.000311204
8,110.796,0.2174,1,1,0.03487,0.000331285,0.000331285,0.000331285
9,125.143,0.17745,1,1,0.01424,0.000345005,0.000345005,0.000345005
10,139.567,0.23835,1,1,0.01178,0.000352363,0.000352363,0.000352363
11,154.466,0.23796,1,1,0.01633,0.000353359,0.000353359,0.000353359
12,169.218,0.20534,1,1,0.01616,0.000325227,0.000325227,0.000325227
13,185.15,0.15747,1,1,0.02594,0.000289884,0.000289884,0.000289884
14,200.203,0.11872,1,1,0.02002,0.000254541,0.000254541,0.000254541
15,215.504,0.14193,1,1,0.01585,0.000219198,0.000219198,0.000219198
16,230.738,0.15161,1,1,0.0167,0.000183855,0.000183855,0.000183855
17,246.655,0.12042,1,1,0.02189,0.000148512,0.000148512,0.000148512
18,261.705,0.11483,1,1,0.02138,0.000113169,0.000113169,0.000113169
19,277.025,0.10126,1,1,0.01429,7.7826e-05,7.7826e-05,7.7826e-05
20,292.422,0.11322,1,1,0.01142,4.2483e-05,4.2483e-05,4.2483e-05
