epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.5646,0.62306,0.75758,1,0.45699,0.0001071,0.0001071,0.0001071
2,53.4931,0.48546,0.75758,1,0.32255,0.000212575,0.000212575,0.000212575
3,78.029,0.4185,0.72727,1,0.72547,0.000309002,0.000309002,0.000309002
4,103.146,0.33764,0.81818,1,0.44492,0.000396381,0.000396381,0.000396381
5,128.889,0.28471,0.84848,1,0.37379,0.000474713,0.000474713,0.000474713
6,155.904,0.21714,0.87879,1,0.60225,0.000543997,0.000543997,0.000543997
7,184.134,0.20007,0.90909,1,0.19109,0.000544354,0.000544354,0.000544354
8,213.128,0.14877,0.93939,1,0.26528,0.000516079,0.000516079,0.000516079
9,242.616,0.08476,0.90909,1,0.28616,0.000487805,0.000487805,0.000487805
10,273.23,0.09299,0.90909,1,0.34105,0.00045953,0.00045953,0.00045953
11,303.154,0.04625,0.90909,1,0.23145,0.000431256,0.000431256,0.000431256
12,333.412,0.0876,0.90909,1,0.20335,0.000402982,0.000402982,0.000402982
13,362.938,0.02836,0.90909,1,0.25252,0.000374707,0.000374707,0.000374707
14,393.22,0.06745,0.90909,1,0.3395,0.000346433,0.000346433,0.000346433
15,425.287,0.11782,0.93939,1,0.31994,0.000318158,0.000318158,0.000318158
16,455.488,0.05444,0.93939,1,0.2773,0.000289884,0.000289884,0.000289884
17,486.269,0.04194,0.93939,1,0.29358,0.00026161,0.00026161,0.00026161
18,519.056,0.04097,0.93939,1,0.29897,0.000233335,0.000233335,0.000233335
19,553.018,0.03902,0.93939,1,0.28543,0.000205061,0.000205061,0.000205061
20,585.048,0.0268,0.93939,1,0.25917,0.000176786,0.000176786,0.000176786
21,617.736,0.03788,0.93939,1,0.25046,0.000148512,0.000148512,0.000148512
22,650.981,0.03376,0.93939,1,0.22443,0.000120238,0.000120238,0.000120238
23,683.597,0.01973,0.93939,1,0.21954,9.19632e-05,9.19632e-05,9.19632e-05
24,716.25,0.03995,0.93939,1,0.21081,6.36888e-05,6.36888e-05,6.36888e-05
25,749.302,0.03866,0.93939,1,0.20862,3.54144e-05,3.54144e-05,3.54144e-05
