epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.8358,0.68212,0.8125,1,0.52741,8.568e-05,8.568e-05,8.568e-05
2,41.0758,0.34658,0.8125,1,0.31854,0.000171431,0.000171431,0.000171431
3,60.0634,0.20239,0.9375,1,0.14928,0.000249831,0.000249831,0.000249831
4,79.0882,0.08351,1,1,0.04159,0.00032088,0.00032088,0.00032088
5,98.3448,0.03599,1,1,0.00968,0.000384578,0.000384578,0.000384578
6,118.989,0.02123,1,1,0.00753,0.000440924,0.000440924,0.000440924
7,139.213,0.00643,1,1,0.00413,0.000489918,0.000489918,0.000489918
8,159.718,0.01345,1,1,0.00164,0.000516079,0.000516079,0.000516079
9,180.92,0.01368,1,1,0.0013,0.000487805,0.000487805,0.000487805
10,202.318,0.02093,1,1,0.00116,0.00045953,0.00045953,0.00045953
11,225.079,0.00315,1,1,0.00069,0.000431256,0.000431256,0.000431256
12,246.654,0.01233,1,1,0.00055,0.000402982,0.000402982,0.000402982
13,268.069,0.00243,1,1,0.00048,0.000374707,0.000374707,0.000374707
14,289.907,0.00119,1,1,0.00051,0.000346433,0.000346433,0.000346433
15,312.007,0.00169,1,1,0.00032,0.000318158,0.000318158,0.000318158
16,334.468,0.00248,1,1,0.00027,0.000289884,0.000289884,0.000289884
17,356.802,0.0021,1,1,0.00025,0.00026161,0.00026161,0.00026161
18,379.226,0.00318,1,1,0.00024,0.000233335,0.000233335,0.000233335
19,403.402,0.0045,1,1,0.00023,0.000205061,0.000205061,0.000205061
20,428.343,0.00217,1,1,0.00024,0.000176786,0.000176786,0.000176786
21,457.173,0.00518,1,1,0.00029,0.000148512,0.000148512,0.000148512
22,481.352,0.00409,1,1,0.00033,0.000120238,0.000120238,0.000120238
23,505.287,0.01115,1,1,0.0002,9.19632e-05,9.19632e-05,9.19632e-05
24,529.022,0.00177,1,1,0.00025,6.36888e-05,6.36888e-05,6.36888e-05
25,553.69,0.00805,1,1,0.00027,3.54144e-05,3.54144e-05,3.54144e-05
