                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.81447,                 3.4308,                 1.1416,                 0.0106,                0.60823,                0.05739,                0.03838,                0.44552,                 3.2622,                0.87785,                 0.0982,                 0.0002,                 0.0002
                      1,                0.73199,                 3.3204,                 1.0915,                 0.0106,                0.60812,                0.07724,                 0.0534,                0.41497,                  3.228,                0.85946,                0.09549,              0.0004901,              0.0004901
                      2,                0.65122,                 3.2125,                 1.0685,                0.01079,                 0.6172,                0.11152,                0.08829,                0.38976,                  3.169,                0.84231,               0.092768,             0.00076832,             0.00076832
                      3,                0.57317,                 3.0797,                 1.0402,                0.01161,                0.64111,                0.17682,                 0.1531,                0.38025,                 3.0846,                0.83052,               0.090035,              0.0010347,              0.0010347
                      4,                 0.5738,                 2.9652,                 0.9788,                0.01144,                0.62856,                0.24691,                0.22845,                0.38399,                 2.9814,                0.82201,               0.087289,              0.0012891,              0.0012891
                      5,                0.54794,                 2.7495,                0.94254,                0.01209,                0.63097,                0.27492,                 0.2561,                0.40127,                  2.909,                0.81805,               0.084532,              0.0015317,              0.0015317
                      6,                 0.5443,                 2.5736,                0.95663,                0.01164,                0.62448,                0.28253,                0.26388,                0.37887,                 2.8472,                0.81357,               0.081762,              0.0017624,              0.0017624
                      7,                0.50692,                 2.3393,                0.95634,                0.01155,                0.61529,                0.28243,                0.26425,                0.37917,                 2.8089,                0.81319,               0.078981,              0.0019812,              0.0019812
                      8,                0.52101,                 2.1434,                0.94518,                0.01267,                0.62262,                0.29424,                0.27509,                0.37601,                 2.7107,                0.81644,               0.076188,              0.0021882,              0.0021882
                      9,                0.55613,                 1.8964,                 0.9599,                0.01539,                0.71472,                0.34519,                 0.3224,                0.38015,                 2.6369,                0.81909,               0.073383,              0.0023832,              0.0023832
                     10,                0.53346,                  1.714,                 0.9366,                0.76916,                0.42982,                0.53721,                0.49225,                0.40254,                 2.4528,                0.83592,               0.070566,              0.0025664,              0.0025664
                     11,                 0.5106,                 1.5739,                0.94828,                0.85072,                0.27149,                0.56052,                0.52225,                 0.3789,                 2.3888,                0.82895,               0.067738,              0.0027377,              0.0027377
                     12,                0.50465,                 1.4263,                0.94157,                0.90155,                0.30661,                0.61324,                 0.5664,                0.39428,                 2.2949,                0.84046,               0.064897,              0.0028971,              0.0028971
                     13,                0.52687,                 1.3954,                0.93854,                0.89652,                0.30138,                0.62497,                 0.5791,                0.40601,                 2.2702,                0.84278,               0.062045,              0.0030447,              0.0030447
