epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9319,0.73139,2.77796,1.15052,0.48847,0.58557,0.62779,0.5896,0.35617,3.30523,0.58326,7.5e-05,7.5e-05,7.5e-05
2,71.172,0.50822,1.23522,0.99319,0.5156,0.84375,0.756,0.69807,0.36585,2.49007,0.57107,0.000159819,0.000159819,0.000159819
3,99.0375,0.43409,0.74088,0.92228,0.72161,0.8657,0.88096,0.80467,0.35964,2.44588,0.56251,0.00024175,0.00024175,0.00024175
4,129.948,0.44393,0.65012,0.92542,0.74889,0.80358,0.8184,0.74748,0.39972,3.0633,0.56804,0.000320794,0.000320794,0.000320794
5,166.473,0.43243,0.54774,0.905,0.91599,0.51747,0.52694,0.4981,0.40719,1.68257,0.56518,0.00039695,0.00039695,0.00039695
6,200.859,0.45323,0.59249,0.92646,0.87119,0.38798,0.40102,0.37591,0.3473,2.15037,0.55114,0.000470219,0.000470219,0.000470219
7,237.145,0.42551,0.5117,0.9071,0.66296,0.38111,0.37437,0.35059,0.41299,1.81609,0.55102,0.0005406,0.0005406,0.0005406
8,273.952,0.41394,0.50471,0.88795,0.74526,0.3906,0.36873,0.34067,0.40322,1.65999,0.54669,0.000608094,0.000608094,0.000608094
9,309.189,0.39019,0.43017,0.89854,0.68715,0.26864,0.25943,0.23773,0.41826,1.42494,0.57657,0.0006727,0.0006727,0.0006727
10,349.805,0.42212,0.44496,0.90565,0.59617,0.2917,0.2685,0.25256,0.39705,1.31245,0.56605,0.000734419,0.000734419,0.000734419
11,394.847,0.41526,0.41429,0.90188,0.66189,0.25986,0.27436,0.25708,0.40484,1.29252,0.56991,0.00079325,0.00079325,0.00079325
12,434.589,0.43218,0.43069,0.91365,0.64394,0.26045,0.27013,0.24393,0.45339,1.47132,0.60198,0.000849194,0.000849194,0.000849194
13,477.201,0.39335,0.40044,0.88591,0.64341,0.19519,0.22165,0.20506,0.44074,1.21908,0.58776,0.00090225,0.00090225,0.00090225
14,521.68,0.39144,0.38141,0.89912,0.63956,0.19519,0.2219,0.2106,0.39293,1.20508,0.57194,0.000952419,0.000952419,0.000952419
15,569.441,0.39064,0.37849,0.88779,0.54811,0.18575,0.2303,0.22156,0.39791,1.10665,0.58835,0.00096125,0.00096125,0.00096125
16,616.289,0.38462,0.37023,0.88795,0.82882,0.20925,0.24579,0.21859,0.3852,1.23692,0.57657,0.000940625,0.000940625,0.000940625
17,657.568,0.39243,0.40272,0.89803,0.80191,0.20631,0.24603,0.22733,0.40129,1.18648,0.57655,0.00092,0.00092,0.00092
18,702.186,0.39067,0.38309,0.8838,0.76724,0.22345,0.28344,0.27227,0.38254,0.97508,0.56547,0.000899375,0.000899375,0.000899375
