epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.7065,0.79186,0.57143,1,0.67797,4.284e-05,4.284e-05,4.284e-05
2,24.6139,0.68652,0.78571,1,0.57029,9.09822e-05,9.09822e-05,9.09822e-05
3,35.217,0.54103,0.92857,1,0.44634,0.000137145,0.000137145,0.000137145
4,46.0919,0.47078,0.92857,1,0.35643,0.000181329,0.000181329,0.000181329
5,56.7794,0.35094,1,1,0.23779,0.000223533,0.000223533,0.000223533
6,67.7301,0.23564,1,1,0.14638,0.000263759,0.000263759,0.000263759
7,78.6638,0.1772,1,1,0.07158,0.000302005,0.000302005,0.000302005
8,89.7911,0.12021,1,1,0.04567,0.000338272,0.000338272,0.000338272
9,101.46,0.08301,1,1,0.02215,0.000372559,0.000372559,0.000372559
10,114.132,0.06412,1,1,0.01492,0.000404868,0.000404868,0.000404868
11,126.686,0.046,1,1,0.00596,0.000435197,0.000435197,0.000435197
12,138.335,0.16667,1,1,0.00242,0.000463547,0.000463547,0.000463547
13,150.278,0.01626,1,1,0.00252,0.000489918,0.000489918,0.000489918
14,163.094,0.03315,1,1,0.00231,0.00051431,0.00051431,0.00051431
15,177.372,0.04052,1,1,0.00201,0.000516079,0.000516079,0.000516079
16,190.066,0.02509,1,1,0.00209,0.000501942,0.000501942,0.000501942
17,202.862,0.04195,1,1,0.003,0.000487805,0.000487805,0.000487805
18,215.781,0.01801,1,1,0.00329,0.000473668,0.000473668,0.000473668
19,228.842,0.03394,1,1,0.00597,0.00045953,0.00045953,0.00045953
20,242.653,0.00802,1,1,0.00772,0.000445393,0.000445393,0.000445393
21,255.704,0.01352,1,1,0.005,0.000431256,0.000431256,0.000431256
22,268.549,0.00622,1,1,0.002,0.000417119,0.000417119,0.000417119
23,281.981,0.01475,1,1,0.00289,0.000402982,0.000402982,0.000402982
24,295.437,0.00669,1,1,0.00234,0.000388844,0.000388844,0.000388844
25,309.415,0.06875,1,1,0.00191,0.000374707,0.000374707,0.000374707
26,322.736,0.00621,1,1,0.00196,0.00036057,0.00036057,0.00036057
27,336.115,0.00325,1,1,0.00124,0.000346433,0.000346433,0.000346433
28,349.952,0.01244,1,1,0.00096,0.000332296,0.000332296,0.000332296
29,363.081,0.02556,1,1,0.00054,0.000318158,0.000318158,0.000318158
30,376.047,0.01034,1,1,0.00099,0.000304021,0.000304021,0.000304021
31,388.814,0.00682,1,1,0.0022,0.000289884,0.000289884,0.000289884
32,402.469,0.00517,1,1,0.00259,0.000275747,0.000275747,0.000275747
33,415.619,0.01518,1,1,0.00306,0.00026161,0.00026161,0.00026161
34,429.297,0.01211,1,1,0.00195,0.000247472,0.000247472,0.000247472
35,442.446,0.01193,1,1,0.00372,0.000233335,0.000233335,0.000233335
36,455.332,0.0513,1,1,0.00081,0.000219198,0.000219198,0.000219198
37,468.596,0.00226,1,1,0.00076,0.000205061,0.000205061,0.000205061
38,481.494,0.00453,1,1,0.00047,0.000190924,0.000190924,0.000190924
39,494.031,0.01623,1,1,0.00034,0.000176786,0.000176786,0.000176786
40,506.744,0.0059,1,1,0.00028,0.000162649,0.000162649,0.000162649
41,519.209,0.00217,1,1,0.0003,0.000148512,0.000148512,0.000148512
42,533.609,0.0114,1,1,0.00029,0.000134375,0.000134375,0.000134375
43,548.328,0.00198,1,1,0.00029,0.000120238,0.000120238,0.000120238
44,560.839,0.01067,1,1,0.00028,0.0001061,0.0001061,0.0001061
45,573.575,0.00763,1,1,0.00026,9.19632e-05,9.19632e-05,9.19632e-05
46,586.61,0.00977,1,1,0.00045,7.7826e-05,7.7826e-05,7.7826e-05
47,599.575,0.01922,1,1,0.00028,6.36888e-05,6.36888e-05,6.36888e-05
48,612.563,0.00093,1,1,0.00031,4.95516e-05,4.95516e-05,4.95516e-05
49,625.175,0.00715,1,1,0.00036,3.54144e-05,3.54144e-05,3.54144e-05
50,637.851,0.00145,1,1,0.00029,2.12772e-05,2.12772e-05,2.12772e-05
