epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.8473,1.26871,0.77273,1,0.97149,8.568e-05,8.568e-05,8.568e-05
2,44.4506,0.88968,0.86364,1,0.61897,0.000169664,0.000169664,0.000169664
3,63.8764,0.55332,0.86364,1,0.34032,0.000244459,0.000244459,0.000244459
4,82.6522,0.39332,0.86364,1,0.23961,0.000310065,0.000310065,0.000310065
5,101.8,0.26964,0.90909,1,0.17542,0.000366482,0.000366482,0.000366482
6,121.379,0.2149,1,1,0.08387,0.000413709,0.000413709,0.000413709
7,141.204,0.30279,1,1,0.04132,0.000451748,0.000451748,0.000451748
8,161.117,0.09585,1,1,0.02734,0.000466599,0.000466599,0.000466599
9,181.799,0.2223,0.95455,1,0.07717,0.000431256,0.000431256,0.000431256
10,202.424,0.08076,0.95455,1,0.09911,0.000395913,0.000395913,0.000395913
11,223.773,0.12448,1,1,0.03318,0.00036057,0.00036057,0.00036057
12,245.117,0.03108,1,1,0.0429,0.000325227,0.000325227,0.000325227
13,266.582,0.12747,1,1,0.02245,0.000289884,0.000289884,0.000289884
14,288.021,0.05962,1,1,0.01904,0.000254541,0.000254541,0.000254541
15,309.478,0.04569,1,1,0.03414,0.000219198,0.000219198,0.000219198
16,331.355,0.06673,1,1,0.02492,0.000183855,0.000183855,0.000183855
17,355.118,0.02443,1,1,0.03455,0.000148512,0.000148512,0.000148512
18,382.136,0.04908,1,1,0.03266,0.000113169,0.000113169,0.000113169
19,406.883,0.01276,1,1,0.0282,7.7826e-05,7.7826e-05,7.7826e-05
20,428.921,0.03156,1,1,0.02658,4.2483e-05,4.2483e-05,4.2483e-05
