epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.75,1.41508,0.2,1,1.37353,7.14e-05,7.14e-05,7.14e-05
2,37.4159,1.21902,0.4,1,1.30809,0.000142518,0.000142518,0.000142518
3,53.2683,1.04232,0.4,1,1.38453,0.00020586,0.00020586,0.00020586
4,68.855,0.87475,0.4,1,1.55466,0.000261428,0.000261428,0.000261428
5,84.5928,0.69267,0.5,1,1.47719,0.000309219,0.000309219,0.000309219
6,100.131,0.55327,0.5,1,1.30165,0.000349235,0.000349235,0.000349235
7,115.994,0.42739,0.7,1,1.16778,0.000381476,0.000381476,0.000381476
8,131.919,0.33724,0.7,1,1.04023,0.000405941,0.000405941,0.000405941
9,148.425,0.38942,0.8,1,1.05214,0.000422631,0.000422631,0.000422631
10,165.024,0.24376,0.8,1,0.99132,0.000395913,0.000395913,0.000395913
11,182.226,0.25267,0.8,1,0.63867,0.00036057,0.00036057,0.00036057
12,199.553,0.21467,0.9,1,0.54151,0.000325227,0.000325227,0.000325227
13,216.761,0.15389,0.9,1,0.48626,0.000289884,0.000289884,0.000289884
14,233.882,0.15729,0.9,1,0.57858,0.000254541,0.000254541,0.000254541
15,251.345,0.10542,0.9,1,0.54375,0.000219198,0.000219198,0.000219198
16,269.156,0.10738,0.9,1,0.47359,0.000183855,0.000183855,0.000183855
17,288.315,0.07366,0.9,1,0.43327,0.000148512,0.000148512,0.000148512
18,306.408,0.07328,0.9,1,0.44123,0.000113169,0.000113169,0.000113169
19,324.074,0.14614,0.9,1,0.47812,7.7826e-05,7.7826e-05,7.7826e-05
20,342.234,0.08241,0.9,1,0.49522,4.2483e-05,4.2483e-05,4.2483e-05
