epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.8074,1.33248,0.33333,1,1.25376,5.712e-05,5.712e-05,5.712e-05
2,28.7661,1.19978,0.33333,1,1.05858,0.000116573,0.000116573,0.000116573
3,42.3899,1.0428,0.66667,1,0.87671,0.000170937,0.000170937,0.000170937
4,56.6976,0.82448,0.83333,1,0.70874,0.000220212,0.000220212,0.000220212
5,71.0238,0.66275,0.83333,1,0.48345,0.000264397,0.000264397,0.000264397
6,85.0275,0.49902,0.83333,1,0.33761,0.000303493,0.000303493,0.000303493
7,99.1351,0.39863,0.83333,1,0.22865,0.000337499,0.000337499,0.000337499
8,112.566,0.33033,1,1,0.14294,0.000366416,0.000366416,0.000366416
9,126.244,0.22924,1,1,0.08801,0.000390244,0.000390244,0.000390244
10,140.145,0.17505,1,1,0.07758,0.000408982,0.000408982,0.000408982
11,154.477,0.15112,1,1,0.07617,0.000422631,0.000422631,0.000422631
12,168.661,0.13117,1,1,0.04923,0.000402982,0.000402982,0.000402982
13,183.465,0.08097,1,1,0.0352,0.000374707,0.000374707,0.000374707
14,199.165,0.09926,1,1,0.03138,0.000346433,0.000346433,0.000346433
15,214.451,0.08956,1,1,0.04046,0.000318158,0.000318158,0.000318158
16,229.404,0.10616,1,1,0.03478,0.000289884,0.000289884,0.000289884
17,243.945,0.1742,1,1,0.0451,0.00026161,0.00026161,0.00026161
18,259.182,0.05213,1,1,0.03198,0.000233335,0.000233335,0.000233335
19,274.739,0.06516,1,1,0.02001,0.000205061,0.000205061,0.000205061
20,290.219,0.04617,1,1,0.01016,0.000176786,0.000176786,0.000176786
21,306.323,0.05767,1,1,0.00779,0.000148512,0.000148512,0.000148512
22,321.321,0.0707,1,1,0.00911,0.000120238,0.000120238,0.000120238
23,336.45,0.06004,1,1,0.00846,9.19632e-05,9.19632e-05,9.19632e-05
24,351.503,0.02984,1,1,0.01059,6.36888e-05,6.36888e-05,6.36888e-05
25,367.189,0.04194,1,1,0.00991,3.54144e-05,3.54144e-05,3.54144e-05
