epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.5173,1.43045,0.25,1,1.32774,8.568e-05,8.568e-05,8.568e-05
2,44.9299,1.1328,0.67857,1,0.96102,0.000174966,0.000174966,0.000174966
3,65.2849,0.86018,0.85714,1,0.58272,0.000260576,0.000260576,0.000260576
4,85.6196,0.5674,0.89286,1,0.3241,0.00034251,0.00034251,0.00034251
5,105.444,0.35506,0.92857,1,0.24455,0.000420769,0.000420769,0.000420769
6,126.019,0.24864,0.92857,1,0.28821,0.000495352,0.000495352,0.000495352
7,147.821,0.2311,0.92857,1,0.33604,0.000566259,0.000566259,0.000566259
8,171.942,0.2414,0.92857,1,0.19742,0.00061504,0.00061504,0.00061504
9,196.299,0.1199,0.92857,1,0.16002,0.000600902,0.000600902,0.000600902
10,218.94,0.15883,0.92857,1,0.19933,0.000586765,0.000586765,0.000586765
11,249.75,0.0991,0.96429,1,0.13446,0.000572628,0.000572628,0.000572628
12,274.115,0.12165,0.96429,1,0.14828,0.000558491,0.000558491,0.000558491
13,297.125,0.10803,0.96429,1,0.21139,0.000544354,0.000544354,0.000544354
14,320.695,0.05321,0.96429,1,0.23641,0.000530216,0.000530216,0.000530216
15,343.267,0.111,0.96429,1,0.25937,0.000516079,0.000516079,0.000516079
16,366.749,0.10642,0.96429,1,0.20723,0.000501942,0.000501942,0.000501942
17,399.905,0.14779,0.96429,1,0.18817,0.000487805,0.000487805,0.000487805
18,423.386,0.06946,1,1,0.03074,0.000473668,0.000473668,0.000473668
19,448.127,0.15565,1,1,0.00851,0.00045953,0.00045953,0.00045953
20,471.769,0.15407,1,1,0.01369,0.000445393,0.000445393,0.000445393
21,495.388,0.11358,1,1,0.02766,0.000431256,0.000431256,0.000431256
22,519.053,0.04847,1,1,0.04364,0.000417119,0.000417119,0.000417119
23,541.91,0.06006,0.96429,1,0.05052,0.000402982,0.000402982,0.000402982
24,564.919,0.02391,0.96429,1,0.04942,0.000388844,0.000388844,0.000388844
25,587.058,0.04381,1,1,0.02916,0.000374707,0.000374707,0.000374707
26,610.312,0.04073,1,1,0.02032,0.00036057,0.00036057,0.00036057
27,633.42,0.08038,1,1,0.01635,0.000346433,0.000346433,0.000346433
28,656.242,0.04519,0.96429,1,0.03924,0.000332296,0.000332296,0.000332296
29,678.853,0.01941,0.96429,1,0.04662,0.000318158,0.000318158,0.000318158
30,701.734,0.01863,0.96429,1,0.06018,0.000304021,0.000304021,0.000304021
31,723.969,0.02017,0.96429,1,0.05401,0.000289884,0.000289884,0.000289884
32,748.199,0.04497,1,1,0.02524,0.000275747,0.000275747,0.000275747
33,773.716,0.03155,1,1,0.0085,0.00026161,0.00026161,0.00026161
34,801.258,0.03828,1,1,0.00397,0.000247472,0.000247472,0.000247472
35,825.398,0.01398,1,1,0.00454,0.000233335,0.000233335,0.000233335
36,849.678,0.03847,1,1,0.00416,0.000219198,0.000219198,0.000219198
37,884.571,0.03139,1,1,0.00483,0.000205061,0.000205061,0.000205061
38,911.188,0.01918,1,1,0.00417,0.000190924,0.000190924,0.000190924
39,936.878,0.02723,1,1,0.00568,0.000176786,0.000176786,0.000176786
40,961.716,0.02631,1,1,0.0044,0.000162649,0.000162649,0.000162649
41,986.547,0.02811,1,1,0.00633,0.000148512,0.000148512,0.000148512
42,1013.67,0.13342,1,1,0.00442,0.000134375,0.000134375,0.000134375
43,1042.29,0.04541,1,1,0.00662,0.000120238,0.000120238,0.000120238
44,1066.49,0.05617,1,1,0.00541,0.0001061,0.0001061,0.0001061
45,1090.92,0.01368,1,1,0.00384,9.19632e-05,9.19632e-05,9.19632e-05
46,1115.44,0.04452,1,1,0.00321,7.7826e-05,7.7826e-05,7.7826e-05
47,1139.11,0.02165,1,1,0.00311,6.36888e-05,6.36888e-05,6.36888e-05
48,1163.05,0.04354,1,1,0.00403,4.95516e-05,4.95516e-05,4.95516e-05
49,1186.19,0.02364,1,1,0.00329,3.54144e-05,3.54144e-05,3.54144e-05
50,1209.54,0.03407,1,1,0.00294,2.12772e-05,2.12772e-05,2.12772e-05
